FID_377_El,field_1,F_,Velocidad,VOLUMEN_CO,Distancia,Altitud,Curso,ANO,MES,DIA,HORA,MIN,SEG,Latitud,Longitud,xcoord,ycoord,x_mina,y_mina,RASTERVALU,FID_Pol_SL,Cat_Zona,Pit,Cat_Bench,Bench,Camino,Tramo,Pendiente,MC,Cat_Carga
385481,93853,346319,41,"134556.48","-----",3091,98,2021,8,22,12,18,40,-24.24694,-69.00254,499948.2223,7318781.503,23273.00935,110391.8229,3081.79467773,18,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Interseccion","",0.0,"Intersección",""
385523,232577,144791,38,"169706.33","-----",3076,99,2021,8,29,3,43,32,-24.24694,-69.002075,499995.4284,7318781.504,23320.2154,110391.8236,3084.26196289,18,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Interseccion","",0.0,"Intersección",""
385513,228252,140466,29,"168878.22","37534.23",3067,331,2021,8,29,0,4,57,-24.246937,-69.004433,499756.048,7318781.83,23080.83503,110392.1502,3075.23901367,1,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Buff 10 m","",0.0,"",""
385497,182699,67360,60,"150219.14","36485.14",3071,98,2021,8,25,16,32,59,-24.246937,-69.00264,499938.0705,7318781.835,23262.8575,110392.1548,3081.1953125,18,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Interseccion","",0.0,"Intersección",""
385534,338583,143870,34,"215517.41","-----",3137,70,2021,9,16,1,33,55,-24.246933,-68.97821,502418.1649,7318782.108,25742.9519,110392.4275,3103.34790039,21,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Terminal","",0.0,"","Zona de descarga"
385518,229953,142167,31,"-----","-----",3126,65,2021,8,29,1,22,3,-24.246933,-68.978485,502390.2473,7318782.112,25715.03434,110392.4319,3104.01586914,21,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Terminal","",0.0,"","Zona de descarga"
385484,93956,346422,30,"134597.21","35521.65",3130,109,2021,8,22,12,24,14,-24.246932,-68.977127,502528.1093,7318782.201,25852.89634,110392.5207,3105.55224609,21,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Terminal","",0.0,"","Zona de descarga"
385551,364423,169825,34,"220623.96","-----",3144,74,2021,9,16,23,35,24,-24.246932,-68.978248,502414.3072,7318782.219,25739.09421,110392.5389,3103.34155273,21,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Terminal","",0.0,"","Zona de descarga"
385501,182916,67577,36,"150274.3","36491.43",3080,325,2021,8,25,16,43,1,-24.246933,-69.004448,499754.5252,7318782.273,23079.31224,110392.5931,3075.2097168,1,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Buff 10 m","",0.0,"",""
385578,515833,66805,36,"249497.2","42363.04",3076,331,2021,9,23,18,8,9,-24.246933,-69.004387,499760.7179,7318782.273,23085.50486,110392.5933,3075.43310547,0,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Buff 5 m","",0.0,"",""
